0,915,276
1,944,338
2,871,312
3,994,349
4,943,405
5,889,420
6,1002,418
7,985,457
8,1016,495
9,1045,526
10,958,486
11,984,532
12,1005,577
13,985,615
14,921,589
15,939,663
16,944,624
17,878,648
18,823,638
19,769,627
20,795,706
21,856,723
22,894,794
23,819,584
24,766,553
25,723,550
26,714,642
27,360,618
28,406,667
29,331,546
30,380,529
31,400,576
32,410,618
33,458,572
34,378,360
35,301,409
36,402,414
37,615,175
38,649,216
39,679,248
0,1
2,1
1,3
1,4
1,6
4,5
4,7
4,6
7,8
6,8
8,9
8,10
8,11
9,12
11,12
11,13
12,13
13,16
13,15
14,16
16,15
15,17
15,21
17,18
18,23
18,21
21,22
21,20
20,19
18,19
19,24
19,25
19,26
27,28
27,29
27,30
27,31
27,32
31,32
31,33
34,35
34,36
37,38
38,39
